レベル	日付と時刻	ソース	イベント ID	タスクのカテゴリ
エラー	2024/07/04 16:52:37	SecurityCenter	17	なし	セキュリティ センターで呼び出し元を検証できませんでした。エラー: DC040780。
エラー	2024/07/04 16:50:07	SecurityCenter	17	なし	セキュリティ センターで呼び出し元を検証できませんでした。エラー: DC040780。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 3 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 5 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 4 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 7 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 6 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 1 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 2 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
警告	2024/07/04 16:49:46	Microsoft-Windows-Kernel-Processor-Power	37	(7)	グループ 0 のプロセッサ 0 のスピードはシステム ファームウェアによって制限されます。プロセッサは、最後のレポート後 193275 秒間このパフォーマンスが制限された状態にあります。
エラー	2024/07/04 16:47:37	SecurityCenter	17	なし	セキュリティ センターで呼び出し元を検証できませんでした。エラー: DC040780。
エラー	2024/07/04 16:45:07	SecurityCenter	17	なし	セキュリティ センターで呼び出し元を検証できませんでした。エラー: DC040780。
エラー	2024/07/04 16:42:37	SecurityCenter	17	なし	セキュリティ センターで呼び出し元を検証できませんでした。エラー: DC040780。
エラー	2024/07/04 16:41:24	Microsoft-Windows-DeviceSetupManager	131	なし	メタデータ ステージングが失敗しました。コンテナー '{00000000-0000-0000-FFFF-FFFFFFFFFFFF}' の結果=0x80070490
エラー	2024/07/04 16:41:24	Microsoft-Windows-DeviceSetupManager	131	なし	メタデータ ステージングが失敗しました。コンテナー '{D1CC1C99-57E4-5921-B6D4-D46E36D7D01F}' の結果=0x80070490
エラー	2024/07/04 16:41:24	Microsoft-Windows-DeviceSetupManager	131	なし	メタデータ ステージングが失敗しました。コンテナー '{C1201F26-7EDA-50A3-8707-84435BCF8415}' の結果=0x80070490
